"raceId","circuit","circuitId","date","min_millis"
158,"albert_park",1,2000-03-12,97275.6379310345
159,"interlagos",18,2000-03-26,77398.1830985915
160,"imola",21,2000-04-09,88706.064516129
161,"silverstone",9,2000-04-23,88835.1333333333
162,"catalunya",4,2000-05-07,86698.3076923077
163,"nurburgring",20,2000-05-21,89867
164,"monaco",6,2000-06-04,84076.2
165,"villeneuve",7,2000-06-18,82527.40625
166,"magny_cours",8,2000-07-02,81743.5833333333
167,"red_bull_ring",70,2000-07-16,74588.985915493
168,"hockenheimring",10,2000-07-30,108863.75
169,"hungaroring",11,2000-08-13,82258.038961039
170,"spa",13,2000-08-27,120329.409090909
171,"monza",14,2000-09-10,99087.5094339623
172,"indianapolis",19,2000-09-24,79327.1643835616
173,"suzuka",22,2000-10-08,101762.924528302
174,"sepang",2,2000-10-22,102754.196428571
141,"albert_park",1,2001-03-04,97115.25
142,"sepang",2,2001-03-18,108435.666666667
143,"interlagos",18,2001-04-01,79069.2368421053
144,"imola",21,2001-04-15,87819.6290322581
145,"catalunya",4,2001-04-29,83352.3125
146,"red_bull_ring",70,2001-05-13,74167.985915493
147,"monaco",6,2001-05-27,82596.9358974359
148,"villeneuve",7,2001-06-10,81723
149,"nurburgring",20,2001-06-24,80339.1641791045
150,"magny_cours",8,2001-07-01,77994.9444444444
151,"silverstone",9,2001-07-15,85562.8333333333
152,"hockenheimring",10,2001-07-29,103907.304347826
153,"hungaroring",11,2001-08-19,79346.4285714286
154,"spa",13,2001-09-02,113472.277777778
155,"monza",14,2001-09-16,87141.3773584906
156,"indianapolis",19,2001-09-30,76203.2876712329
157,"suzuka",22,2001-10-14,99118.8301886792
124,"albert_park",1,2002-03-03,98910.2068965517
125,"sepang",2,2002-03-17,100944.857142857
126,"interlagos",18,2002-03-31,77516.3802816901
127,"imola",21,2002-04-14,86303.0483870968
128,"catalunya",4,2002-04-28,83538.1692307692
129,"red_bull_ring",70,2002-05-12,74570.8181818182
130,"monaco",6,2002-05-26,81269.9358974359
131,"villeneuve",7,2002-06-09,80230.1571428571
132,"nurburgring",20,2002-06-23,95123.7666666667
133,"silverstone",9,2002-07-07,90491.1111111111
134,"magny_cours",8,2002-07-21,76803.2916666667
135,"hockenheimring",10,2002-07-28,78687.7313432836
136,"hungaroring",11,2002-08-18,79337.6753246753
137,"spa",13,2002-09-01,110923.5
138,"monza",14,2002-09-15,86414.7547169811
139,"indianapolis",19,2002-09-29,74903.2054794521
140,"suzuka",22,2002-10-13,98484.8679245283
108,"albert_park",1,2003-03-09,97967.6551724138
109,"sepang",2,2003-03-23,98967.7678571429
110,"interlagos",18,2003-04-06,101439.777777778
111,"imola",21,2003-04-20,85355.7741935484
112,"catalunya",4,2003-05-04,86568.2
113,"red_bull_ring",70,2003-05-18,73114.3188405797
114,"monaco",6,2003-06-01,78705.2564102564
115,"villeneuve",7,2003-06-15,78194.1571428571
116,"nurburgring",20,2003-06-29,94727.0333333333
117,"magny_cours",8,2003-07-06,77845.9
118,"silverstone",9,2003-07-20,88625.9
119,"hockenheimring",10,2003-08-03,79533.8656716418
120,"hungaroring",11,2003-08-24,84878
121,"monza",14,2003-09-14,84147.8867924528
122,"indianapolis",19,2003-09-28,75298.4285714286
123,"suzuka",22,2003-10-12,96447.9811320755
90,"albert_park",1,2004-03-07,87168.224137931
91,"sepang",2,2004-03-21,97633.75
92,"bahrain",3,2004-04-04,93243.4210526316
93,"imola",21,2004-04-25,83543.064516129
94,"catalunya",4,2004-05-09,79588.5
95,"monaco",6,2004-05-23,82423.3896103896
96,"nurburgring",20,2004-05-30,92585.0166666667
97,"villeneuve",7,2004-06-13,75782.9
98,"indianapolis",19,2004-06-20,82601.5616438356
99,"magny_cours",8,2004-07-04,77401.9
100,"silverstone",9,2004-07-11,82924.9487179487
101,"hockenheimring",10,2004-07-25,76285.5757575758
102,"hungaroring",11,2004-08-15,81801.8714285714
103,"spa",13,2004-08-29,119643.24137931
104,"monza",14,2004-09-12,85253.7358490566
105,"shanghai",17,2004-09-26,95578.9285714286
106,"suzuka",22,2004-10-10,95603.4905660377
107,"interlagos",18,2004-10-24,74386.6338028169
71,"albert_park",1,2005-03-06,88725.1929824561
72,"sepang",2,2005-03-20,98102.4285714286
73,"bahrain",3,2005-04-03,94009.3157894737
74,"imola",21,2005-04-24,84869.6935483871
75,"catalunya",4,2005-05-08,79345.9090909091
76,"monaco",6,2005-05-22,78790.0434782609
77,"nurburgring",20,2005-05-29,93247.8103448276
78,"villeneuve",7,2005-06-12,76586.3947368421
79,"indianapolis",19,2005-06-19,73742.2054794521
80,"magny_cours",8,2005-07-03,78317.6142857143
81,"silverstone",9,2005-07-10,84493.1333333333
82,"hockenheimring",10,2005-07-24,76896.6
83,"hungaroring",11,2005-07-31,83507.8857142857
84,"istanbul",5,2005-08-21,87490.5862068966
85,"monza",14,2005-09-04,84314.320754717
86,"spa",13,2005-09-11,120069.7
87,"interlagos",18,2005-09-25,75501.0422535211
88,"suzuka",22,2005-10-09,100796.452830189
89,"shanghai",17,2005-10-16,106108.636363636
53,"bahrain",3,2006-03-12,94494.8245614035
54,"sepang",2,2006-03-19,97152.3035714286
55,"albert_park",1,2006-04-02,98678.9375
56,"imola",21,2006-04-23,88169.1290322581
57,"nurburgring",20,2006-05-07,95979.4166666667
58,"catalunya",4,2006-05-14,78511.5
59,"monaco",6,2006-05-28,77974.6041666667
60,"silverstone",9,2006-06-11,85865.45
61,"villeneuve",7,2006-06-25,80712.9655172414
62,"indianapolis",19,2006-07-02,77742.4520547945
63,"magny_cours",8,2006-07-16,78968.6142857143
64,"hockenheimring",10,2006-07-30,78681.9850746269
65,"hungaroring",11,2006-08-06,96299.1571428571
66,"istanbul",5,2006-08-27,91915.2068965517
67,"monza",14,2006-09-10,84754.2452830189
68,"shanghai",17,2006-10-01,104513.339285714
69,"suzuka",22,2006-10-08,94570.0555555556
70,"interlagos",18,2006-10-22,77658.4647887324
36,"albert_park",1,2007-03-18,88427.0689655172
37,"sepang",2,2007-04-08,98838.0357142857
38,"bahrain",3,2007-04-15,98377.4561403509
39,"catalunya",4,2007-05-13,84557.3846153846
40,"monaco",6,2007-05-27,77299.0897435897
41,"villeneuve",7,2007-06-10,81411.6666666667
42,"indianapolis",19,2007-06-17,74931.0273972603
43,"magny_cours",8,2007-07-01,77917.1428571429
44,"silverstone",9,2007-07-08,83102.9491525424
45,"nurburgring",20,2007-07-22,126439.3
46,"hungaroring",11,2007-08-05,82185.5857142857
47,"istanbul",5,2007-08-26,89692.4310344828
48,"monza",14,2007-09-09,89015.2075471698
49,"spa",13,2007-09-16,109978.772727273
50,"fuji",16,2007-09-30,107978.791044776
51,"shanghai",17,2007-10-07,104971.339285714
52,"interlagos",18,2007-10-21,74581.2676056338
18,"albert_park",1,2008-03-16,95126.7894736842
19,"sepang",2,2008-03-23,97831.3392857143
20,"bahrain",3,2008-04-06,95911.7543859649
21,"catalunya",4,2008-04-27,89031.3809523809
22,"istanbul",5,2008-05-11,89818.1206896552
23,"monaco",6,2008-05-25,95299.2368421053
24,"villeneuve",7,2008-06-08,82528.4615384615
25,"magny_cours",8,2008-06-22,78717.7857142857
26,"silverstone",9,2008-07-06,98023.7714285714
27,"hockenheimring",10,2008-07-20,79083.3428571429
28,"hungaroring",11,2008-08-03,83448.8208955224
29,"valencia",12,2008-08-24,100567.350877193
30,"spa",13,2008-09-07,111019.833333333
31,"monza",14,2008-09-14,98254.6037735849
32,"marina_bay",15,2008-09-28,112792.214285714
33,"fuji",16,2008-10-12,80034.75
34,"shanghai",17,2008-10-19,98525.0535714286
35,"interlagos",18,2008-11-02,79597.676056338
1,"albert_park",1,2009-03-29,91822.2352941177
2,"sepang",2,2009-04-05,107439.419354839
3,"shanghai",17,2009-04-19,126133.660714286
4,"bahrain",3,2009-04-26,96634.7719298246
5,"catalunya",4,2009-05-10,88472.7575757576
6,"monaco",6,2009-05-24,77490.7948717949
7,"istanbul",5,2009-06-07,89393.9310344828
8,"silverstone",9,2009-06-21,82822.1333333333
9,"nurburgring",20,2009-07-12,96721.8333333333
10,"hungaroring",11,2009-07-26,84341.0857142857
11,"valencia",12,2009-08-23,100899.807017544
12,"spa",13,2009-08-30,114340.795454545
13,"monza",14,2009-09-13,86447.2830188679
14,"marina_bay",15,2009-09-27,114202.245901639
15,"suzuka",22,2009-10-04,96049.3953488372
16,"interlagos",18,2009-10-18,78071.5633802817
17,"yas_marina",24,2009-11-01,102607.527272727
337,"bahrain",3,2010-03-14,121640.734693878
338,"albert_park",1,2010-03-28,96836.7413793103
339,"sepang",2,2010-04-04,100507.357142857
340,"shanghai",17,2010-04-18,114324.339285714
341,"catalunya",4,2010-05-09,87031.8333333333
342,"monaco",6,2010-05-16,84754.7222222222
343,"istanbul",5,2010-05-30,91855.5172413793
344,"villeneuve",7,2010-06-13,80477.9428571429
345,"valencia",12,2010-06-27,105781.947368421
346,"silverstone",9,2010-07-11,97657.6923076923
347,"hockenheimring",10,2010-07-25,78490.5074626866
348,"hungaroring",11,2010-08-01,86651.0142857143
349,"spa",13,2010-08-29,118380.72972973
350,"monza",14,2010-09-12,86501.358490566
351,"marina_bay",15,2010-09-26,115960.31147541
352,"suzuka",22,2010-10-10,102402.320754717
353,"yeongam",35,2010-10-24,183651.090909091
354,"interlagos",18,2010-11-07,78757.7887323944
355,"yas_marina",24,2010-11-14,108669.763636364
841,"albert_park",1,2011-03-27,92590.6724137931
842,"sepang",2,2011-04-10,104639.857142857
843,"shanghai",17,2011-04-17,103896.892857143
844,"istanbul",5,2011-05-08,93406.1724137931
845,"catalunya",4,2011-05-22,90050.0151515152
846,"monaco",6,2011-05-29,82576.28125
847,"villeneuve",7,2011-06-12,116644.285714286
848,"valencia",12,2011-06-26,104845.070175439
849,"silverstone",9,2011-07-10,102330.692307692
850,"nurburgring",20,2011-07-24,97505.5666666667
851,"hungaroring",11,2011-07-31,91461.9571428571
852,"spa",13,2011-08-28,118291.083333333
853,"monza",14,2011-09-11,91437.2075471698
854,"marina_bay",15,2011-09-25,117159.950819672
855,"suzuka",22,2011-10-09,102894.849056604
856,"yeongam",35,2011-10-16,106945.345454545
857,"buddh",68,2011-10-30,90583.3666666667
858,"yas_marina",24,2011-11-13,106034.290909091
859,"interlagos",18,2011-11-27,77992.4507042254
860,"albert_park",1,2012-03-18,95217
861,"sepang",2,2012-03-25,133715.333333333
862,"shanghai",17,2012-04-15,103338.017857143
863,"bahrain",3,2012-04-22,100192.807017544
864,"catalunya",4,2012-05-13,90138.5606060606
865,"monaco",6,2012-05-27,81622.5256410256
866,"villeneuve",7,2012-06-10,79279.8
867,"valencia",12,2012-06-24,109122.153846154
868,"silverstone",9,2012-07-08,98294
869,"hockenheimring",10,2012-07-22,81580.0298507463
870,"hungaroring",11,2012-07-29,87905.8405797101
871,"spa",13,2012-09-02,121557.5
872,"monza",14,2012-09-09,90211.7169811321
873,"marina_bay",15,2012-09-23,117812.681818182
874,"suzuka",22,2012-10-07,100683.811320755
875,"yeongam",35,2012-10-14,105248.2
876,"buddh",68,2012-10-28,91179.0666666667
877,"yas_marina",24,2012-11-04,115126.428571429
878,"americas",69,2012-11-18,102772.660714286
879,"interlagos",18,2012-11-25,85321
880,"albert_park",1,2013-03-17,93159.0517241379
881,"sepang",2,2013-03-24,106012.160714286
882,"shanghai",17,2013-04-14,103338.303571429
883,"bahrain",3,2013-04-21,101061.368421053
884,"catalunya",4,2013-05-12,90251.4545454545
885,"monaco",6,2013-05-26,84289.6785714286
886,"villeneuve",7,2013-06-09,78987.7571428571
887,"silverstone",9,2013-06-30,106390.341463415
888,"nurburgring",20,2013-07-07,100358.333333333
890,"hungaroring",11,2013-07-28,87849.2142857143
891,"spa",13,2013-08-25,114140.818181818
892,"monza",14,2013-09-08,88931.1698113208
893,"marina_bay",15,2013-09-22,116760.565217391
894,"yeongam",35,2013-10-06,110187.708333333
895,"suzuka",22,2013-10-13,98288.6981132075
896,"buddh",68,2013-10-27,91203.1166666667
897,"yas_marina",24,2013-11-03,107020.109090909
898,"americas",69,2013-11-17,106377.642857143
899,"interlagos",18,2013-11-24,78257.7464788732
900,"albert_park",1,2014-03-16,97872.1052631579
901,"sepang",2,2014-03-30,107606.678571429
902,"bahrain",3,2014-04-06,103879.35
903,"shanghai",17,2014-04-20,103800.178571429
904,"catalunya",4,2014-05-11,91896.2878787879
905,"monaco",6,2014-05-25,84200.782051282
906,"villeneuve",7,2014-06-08,84922.6811594203
907,"red_bull_ring",70,2014-06-22,74295.4366197183
908,"silverstone",9,2014-07-06,169463.346153846
909,"hockenheimring",10,2014-07-20,83924.0895522388
910,"hungaroring",11,2014-07-27,96929.4
911,"spa",13,2014-08-24,115376.272727273
912,"monza",14,2014-09-07,89627.0943396226
913,"marina_bay",15,2014-09-21,120079.916666667
914,"suzuka",22,2014-10-05,152341.386363636
915,"sochi",71,2014-10-12,103976.301886792
916,"americas",69,2014-11-02,107228.303571429
917,"interlagos",18,2014-11-09,76092.323943662
918,"yas_marina",24,2014-11-23,108047.618181818
926,"albert_park",1,2015-03-15,95070.1206896552
927,"sepang",2,2015-03-29,108317.732142857
928,"shanghai",17,2015-04-12,106260.980769231
929,"bahrain",3,2015-04-19,100101.912280702
930,"catalunya",4,2015-05-10,92008.4090909091
931,"monaco",6,2015-05-24,82306.3387096774
932,"villeneuve",7,2015-06-07,78759.2142857143
933,"red_bull_ring",70,2015-06-21,76294.7887323944
934,"silverstone",9,2015-07-05,104514.838709677
936,"hungaroring",11,2015-07-26,90721.3170731707
937,"spa",13,2015-08-23,116753.186046512
938,"monza",14,2015-09-06,88314.8679245283
939,"marina_bay",15,2015-09-20,116952.333333333
940,"suzuka",22,2015-09-27,99745.4339622642
941,"sochi",71,2015-10-11,110019.320754717
942,"americas",69,2015-10-25,118798.267857143
943,"rodriguez",32,2015-11-01,85567.44
944,"interlagos",18,2015-11-15,77029.4366197183
945,"yas_marina",24,2015-11-29,107457.727272727
948,"albert_park",1,2016-03-20,96172
949,"bahrain",3,2016-04-03,98503.4385964912
950,"shanghai",17,2016-04-17,105962.339285714
951,"sochi",71,2016-05-01,104943.339622642
952,"catalunya",4,2016-05-15,92424.5
953,"monaco",6,2016-05-29,91911.9615384615
954,"villeneuve",7,2016-06-12,78075.6571428571
955,"baku",73,2016-06-19,109262.078431373
956,"red_bull_ring",70,2016-07-03,72159.1923076923
957,"silverstone",9,2016-07-10,109535.211538462
958,"hungaroring",11,2016-07-24,86144.5
